,tabac,gum,year,num
21566,2.0,2.0,2001,9.0
21569,7.0,7.0,2001,1.0
21570,35.0,3.0,2001,7.0
21588,7.0,5.0,2001,6.0
21596,5.0,1.0,2001,9.0
21597,3.0,3.0,2001,11.0
21601,14.0,7.0,2001,4.0
21608,10.0,2.0,2001,11.0
21609,2.0,1.0,2001,12.0
21613,7.0,20.0,2001,2.0
21626,3.0,1.0,2001,1.0
21643,3.0,10.0,2001,3.0
21655,4.0,1.0,2001,7.0
21657,14.0,1.0,2001,10.0
21662,20.0,5.0,2001,1.0
21666,20.0,10.0,2001,6.0
21670,3.0,20.0,2001,10.0
21678,5.0,1.0,2001,9.0
21680,10.0,10.0,2001,51.0
21718,7.0,1.0,2001,1.0
21729,7.0,2.0,2001,3.0
21746,3.0,15.0,2001,11.0
21747,10.0,20.0,2001,13.0
21755,5.0,1.0,2001,10.0
21757,3.0,1.0,2001,2.0
21765,3.0,1.0,2001,3.0
21782,6.0,1.0,2001,53.0
21789,7.0,2.0,2001,6.0
21815,14.0,1.0,2001,6.0
21824,3.0,10.0,2001,1.0
21854,12.0,5.0,2001,9.0
21866,14.0,6.0,2001,11.0
21877,10.0,10.0,2001,10.0
21884,3.0,10.0,2001,9.0
21887,5.0,10.0,2001,13.0
21900,10.0,50.0,2001,3.0
21980,10.0,12.0,2001,4.0
21986,5.0,4.0,2001,13.0
21987,21.0,2.0,2001,1.0
21992,6.0,12.0,2001,8.0
22016,5.0,1.0,2001,11.0
22027,6.0,1.0,2001,52.0
22034,10.0,3.0,2001,8.0
22045,7.0,2.0,2001,9.0
22047,4.0,2.0,2001,51.0
22055,4.0,10.0,2001,9.0
22065,5.0,20.0,2001,5.0
22082,14.0,1.0,2001,9.0
22085,7.0,4.0,2001,3.0
22090,4.0,10.0,2001,9.0
22093,7.0,10.0,2001,91.0
22129,30.0,5.0,2001,2.0
22132,7.0,1.0,2001,5.0
22164,7.0,7.0,2001,52.0
22168,6.0,4.0,2001,4.0
22172,10.0,3.0,2001,11.0
22174,6.0,2.0,2001,53.0
22187,9.0,3.0,2001,55.0
22222,2.0,3.0,2001,7.0
22266,2.0,3.0,2001,10.0
22267,3.0,5.0,2001,1.0
22272,10.0,1.0,2001,6.0
22273,11.0,10.0,2001,7.0
22314,7.0,3.0,2001,4.0
22316,7.0,7.0,2001,6.0
22334,10.0,4.0,2001,15.0
22336,3.0,2.0,2001,3.0
